stop_id,stop_name,stop_desc,stop_lat,stop_lon
7044,"Muzeul Culturii Romilor","Drumul Sabareni, Bucuresti",44.47455,26.013062
7545,"Condax","Drumul Sabareni, Bucuresti",44.477007,26.006162
6376,"Giulesti Sarbi","Calea Giulesti, Bucuresti",44.471123,26.000898
7551,"Scoala","Calea Giulesti, Bucuresti",44.469912,26.00321
5982,"Sculptorilor","Calea Giulesti, Bucuresti",44.470664,26.007568
5991,"Intrarea Caramidariei","Calea Giulesti, Bucuresti",44.467349,26.010263
7542,"Poiana Lacului","Calea Giulesti, Bucuresti",44.467427,26.016164
6762,"Stirbei Voda","Str. Stirbei Voda, Bucuresti",44.436434,26.075877
6003,"Poiana Lacului","Calea Giulesti, Bucuresti",44.467383,26.015767
7549,"Intrarea Caramidariei","Calea Giulesti, Bucuresti",44.467146,26.010769
5985,"Sculptorilor","Calea Giulesti, Bucuresti",44.470726,26.006936
5983,"Scoala","Calea Giulesti, Bucuresti",44.470163,26.002305
7125,"Cartier Constantin Brancusi","Aleea Cumintenia Pamantului, Bucuresti",44.418479,26.002401
6288,"Parcul Constantin Brancusi","Drumul Valea Doftanei, Bucuresti",44.418478,26.007745
6287,"Coloana Infinitului","Aleea Poarta Sarutului, Bucuresti",44.419515,26.010094
6290,"Masa Tacerii","Aleea Masa Tacerii, Bucuresti",44.420083,26.012424
7236,"Drumul Taberei 85","Drumul Taberei, Bucuresti",44.41773,26.020878
6854,"Piata Valea Ialomitei","Drumul Taberei, Bucuresti",44.421299,26.020999
6853,"Romancierilor","Drumul Taberei, Bucuresti",44.422938,26.025635
6852,"Poiana Muntelui","Drumul Taberei, Bucuresti",44.422306,26.030241
6858,"Piata Drumul Taberei","Drumul Taberei, Bucuresti",44.422427,26.035854
6861,"Poiana Muntelui","Drumul Taberei, Bucuresti",44.422616,26.029659
6860,"Romancierilor","Drumul Taberei, Bucuresti",44.423189,26.024511
6425,"Piata Valea Ialomitei","Drumul Taberei, Bucuresti",44.420352,26.019906
6289,"Valea Argesului","Str. Valea Argesului, Bucuresti",44.415783,26.015546
6301,"Valea Doftanei","Drumul Valea Doftanei, Bucuresti",44.41896,26.013071
6300,"Parcul Constantin Brancusi","Drumul Valea Doftanei, Bucuresti",44.418459,26.006973
6286,"Cartier Constantin Brancusi","Aleea Pasarea In Vazduh, Bucuresti",44.419036,26.00281
7518,"Piata Eroii Revolutiei","Sos. Viilor, Bucuresti",44.405873,26.095288
7511,"Stefan Hepites","Sos. Viilor, Bucuresti",44.408642,26.090823
7140,"Dr. Constantin Istrati","Sos. Viilor, Bucuresti",44.412303,26.087968
7530,"Spatarul Preda","Sos. Viilor, Bucuresti",44.414076,26.086015
7425,"Piata Chirigiu","Calea Rahovei, Bucuresti",44.416911,26.080668
7429,"Soseaua Progresului","Calea Rahovei, Bucuresti",44.414992,26.07704
7519,"Calea Ferentari","Str. Sebastian, Bucuresti",44.41338,26.072848
7115,"Parcul Sebastian","Str. Sebastian, Bucuresti",44.416005,26.070213
7586,"Valea Argesului","Str. Valea Argesului, Bucuresti",44.416005,26.016416
7400,"Sebastian","Str. Sebastian, Bucuresti",44.419768,26.066471
7110,"Parcul Sebastian","Str. Sebastian, Bucuresti",44.415174,26.07084
6777,"Calea Rahovei","Calea Rahovei, Bucuresti",44.413601,26.074785
7187,"Soseaua Progresului","Calea Rahovei, Bucuresti",44.415912,26.079248
5993,"Spatarul Preda","Sos. Viilor, Bucuresti",44.413336,26.086615
5996,"Inclinata","Sos. Viilor, Bucuresti",44.410463,26.089385
6004,"Stefan Hepites","Sos. Viilor, Bucuresti",44.40739,26.09237
